id,hidden,name,alternateName,code,sku,price,priceType,defaultTaxRates,unitName,cost,isRevenue,stockCount,modifiedTime,priceWithoutVat
TRRSH41DBARWT,false,Clase Azul Mezcal 750mL,,,081240501106,34999,FIXED,true,,22723,true,0,1574040370000,0
D8YM68BW1Z2YP,false,Cosmopolitan Diva Non Alcoholic 750mL,,,816136024748,1099,FIXED,false,,600,true,0,1574037530000,
D0Q1TK2ZGM6JM,false,Cosmopolitan Diva Regular 750mL,,,816136024762,1099,FIXED,false,,600,true,0,1574037408000,
D8VGQTBV4NDMM,false,Cosmopolitan Diva Melon Fusion 750mL,,,816136024786,1099,FIXED,false,,600,true,0,1574037358000,
HAKXJP0W49ZD8,false,Cosmopolitan Diva Passion Fruit 750mL,,,816136024830,1099,FIXED,false,,600,true,0,1574037317000,
SX3NJY5RRSMZP,false,Cosmopolitan Diva Berry Fusion 750mL ,,,816136024779,1099,FIXED,false,,600,true,0,1574037270000,
QFC0H25TQXHRY,false,Cosmopolitan Diva Strawberry Mint 750mL ,,,816136024793,1099,FIXED,false,,600,true,0,1574037213000,
K062NJGG53CDR,false,Domaine Descroix Beaujolais Nouveau 750mL,,,784585000616,1199,FIXED,true,,668,true,0,1574035854000,0
RW83MRJJ3ZN22,false,Domaine Manoir du Carra Beaujolais Villages Nouveau 750mL ,,,784585003082,1299,FIXED,true,,734,true,0,1574035348000,
5GN3MSW7WQKCE,false,Domaine Manoir du Carra Beaujolais Nouveau 750mL,,,784585001064,1099,FIXED,true,,600,true,0,1574033788000,
WCVZ8PH41K7EM,false,Goose Island 312 Urban Wheat Ale 6 Pack Cans,,,736920113086,899,FIXED,true,,538,true,0,1574036888000,0
EZCX0ZZ8NAPT8,false,Goose Island 312 Urban Wheat Ale 30 Pack Cans ,,,,3899,FIXED,true,,2690,true,0,1574020141000,
HRAQ2QM1FFK42,false,Goose Island 312 Urban Wheat Ale 15 Pack Cans,,,736920116520,1999,FIXED,true,,1345,true,0,1574036864000,0
TVP216PSA8VER,false,Jam Jar Sweet Moscato 750mL,,,755738000661,1199,FIXED,true,,600,true,0,1574018561000,0
HXDQWWKMKFD6C,true,AppHeavenAgeToken,0000000001,,,0,FIXED,false,,,true,,1573952197000,
YSRY9VKFN9GKT,false,Pierre Ferrand 1er Cru De Cognac Reserve 750mL,,3460410530424,695521152194,9999,FIXED,true,,6000,true,0,1573698523000,0
95C3JJXPTNK0T,false,Akashi Ume Plum Eigashima Japanese Whisky 750mL,,,4969265758834,3799,FIXED,true,,2467,true,0,1573698715000,0
EFRK8DNTZP4H8,false,Famillie Perrin Reserve Red Cotes Du Rhone 375mL,,,089419011975,899,FIXED,true,,300,true,0,1573783763000,0
X6H112H68DAWR,false,DuMol Wester Reach Russian River Chardonnay 750mL,,,,7999,FIXED,true,,4467,true,0,1573693015000,
ZR0Q87TXCDC8E,false,DuMol Wester Reach Russian River Pinot Noir 750mL,,,,9999,FIXED,true,,5667,true,0,1573692973000,
5XSC8A7FQ5PGM,false,NV15 Cain Cuvee Napa Red 750mL,,,,3999,FIXED,true,,2470,true,0,1573692080000,0
15Z6FS027MXB2,false,Famillie Perrin Reserve White Cotes Du Rhone 750mL,,,089419016956,1399,FIXED,true,,734,true,0,1573698217000,0
YQ10AR5FY2KYY,false,Clear Creek Apple Brandy 2yrs 375mL,,,016976122004,2499,FIXED,true,,1500,true,0,1573699363000,0
8QP9CPKNND20M,false,Kelt VSOP Cognac 375mL,,,758371721023,5499,FIXED,true,,3300,true,0,1573699437000,0
G7GXW9PX2JDXY,false,Mars Komagatake LE 2019 Single Malt Whisky 750mL,,,4976881503380,19999,FIXED,true,,11300,true,0,1573699292000,0
T2BMY5X1363XJ,false,Matua Rosé 750mL,,,857923004086,1099,FIXED,true,,650,true,0,1573614298000,0
H4M7NF2DGNA9G,false,The Macallan Edition No5 Highland Whisky 750mL,,,812066023134,16499,FIXED,true,,10500,true,0,1573614099000,0
GVNGHDD2QT2WE,false,Capriccio Sangria Passion Fruit 750mL,,,089016019701,899,FIXED,true,,475,true,0,1573614124000,0
1YCQKFBACEHCY,false,Whistle Pig The Boss Hog Samurai Scientist VI Edition 750mL,,,850001901192,54999,FIXED,true,,37500,true,0,1573614216000,0
92BC6JV8JNZSG,false,Knob Creek Cask Strength Rye 2019 Whiskey 750mL,,,080686016595,7999,FIXED,true,,5385,true,0,1573530347000,
57KS5M5KZX0DE,false,Chivas Regal 13 Years Manchester United Edition 750mL,,,080432115343,4499,FIXED,true,,2694,true,0,1573530014000,0
1RMQD4XPDM4JE,false,Four Roses Limited Edition Small Batch 2014 750mL,,,793573925060,39999,FIXED,true,,30000,true,0,1573615135000,0
TSH38GW5X5VR6,false,Four Roses Limited Edition Small Batch 2018 750mL,,,040232669873,39999,FIXED,true,,30000,true,0,1573528141000,
VKZ0KAG96TQ4G,false,Bakers 13 Year Old Bourbon 750mL,,,080686015024,34999,FIXED,true,,7536,true,0,1573529462000,0
XT1Y6GKXVXCSW,false,Four Roses Limited Edition Small Batch 2019 750mL,,,040232377716,39999,FIXED,true,,10525,true,0,1573528047000,0
ZRPD681DV95K0,false,Aberlour Abunadh Alba Bourbon Barrel 750mL ,,,080432114612,10999,FIXED,true,,7000,true,0,1573527096000,
W1KFM7ACFSSK6,false,Burgans Albarino Rias Baixas 750mL,,,637789336749,1799,FIXED,true,,1068,true,0,1573526798000,0
PXTRT6FK7N5PA,false,Fortaleza Reposado Tequila 750mL,,,7502221967108,6999,FIXED,true,,4800,true,0,1573526722000,0
EQ3GW11FMKGYR,false,Dom Perignon Brut Lenny Kravitz Edition 750mL,,,081753831974,22999,FIXED,true,,15500,true,0,1573526165000,0
BEPKJHQH5JH0W,false,Samuel Adams Utopias 2019 750mL,,087692762355,,42999,FIXED,true,,30000,true,0,1573517167000,0
MW15B72EGQ7ZG,false,Smirnoff Ice Screwdriver 24 Pack Bottles,,,082000778264,3799,FIXED,true,,2700,true,0,1573512610000,0
Z5AMGVZZFWF9Y,false,Smirnoff Ice Screwdriver 12 Pack Bottles,,,,1949,FIXED,true,,1350,true,0,1573512328000,
ZWB302D4RBT9R,false,Smirnoff Ice Screwdriver 6 Pack Bottles,,,082000757481,999,FIXED,true,,675,true,0,1573512294000,
CAYNGZYQJF220,false,Lagunitas Born Yesterday Pale Ale 6 Pack Bottles ,,,723830000254,1499,FIXED,true,,975,true,0,1573512064000,
7E3CY420JF02T,false,Fireball Cinnamon Whiskey Plastic 750mL,,,088004144692,1799,FIXED,true,,1200,true,0,1573964929000,
KM48FFH11SWC6,false,Yellowstone 105 Proof No.3 Bourbon 750mL,,,088352133348,14999,FIXED,true,,8080,true,0,1573166521000,
S276STWE2JGKE,false,Untitled Whiskey No.3 200mL,,,,2999,FIXED,true,,1750,true,0,1573158759000,
B6P2HVCP0NYX4,false,Nurnberger Gluhwein Mulled Wine 1L,,,080368998003,1399,FIXED,true,,667,true,0,1573338784000,0
BKWX7BRKN36YE,false,Kentucky Owl 10 Year Rye 750mL,,,857361007083,23999,FIXED,true,,14600,true,0,1573338599000,0
24227339T6KA8,false,Angostura Orange Aromatic Bitters 4oz,,,075496331143,1299,FIXED,true,,800,true,0,1573182986000,0
WNCH145NPW6SM,false,Trident Lime Passionfruit Twist,,012546012409,,182,FIXED,false,,100,true,0,1573154794000,0
GDSRD67W3MBVR,false,Buchanans Master Scotch 750mL,,,088076177789,5499,FIXED,true,,3600,true,0,1573083007000,0
SAKFMYMVBSS3G,false,Baileys Red Velvet Liqueur 750mL,,,086767705013,2999,FIXED,true,,2050,true,0,1573158050000,
9EAXZP6KN41ER,false,Stags' Leap Napa Valley Sauvignon Blanc 750mL,,,089819723324,2699,FIXED,true,,1612,true,0,1573005453000,0
MNT7PNJ8VWR2T,false,Fetzer Sauvignon Blanc 1.5L,,,082896065769,1499,FIXED,true,,867,true,0,1573005676000,0
8DG8G9VC8P93G,false,Fetzer Riesling 1.5L,,,082896049226,1499,FIXED,false,,867,true,0,1573005650000,0
F5Q1CZWMV6MD2,false,Fetzer Pinot Grigio 1.5L,,,082896061464,1499,FIXED,true,,867,true,0,1573005615000,0
NWE85K8N7A844,false,Fetzer Cabernet 1.5L,,,082896100132,1499,FIXED,true,,867,true,0,1573005769000,0
PVFQ9P9DBA488,false,B V Rutherford Cabernet Sauvignon 750mL,,,080696121227,4499,FIXED,true,,1,true,0,1573006601000,0
